Fri Sep 24 2021 06:20:09 GMT-0400 (Eastern Daylight Time) - Run Time: 675ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of F/T workers in household - n_emp_ft


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_emp_ft
  gta06_hhld    n_emp_ft      total
        6053           2        142
        6053           3         14
        6054           0        165
        6054           1        197
        6054           2        117
        6055           0        235
        6055           1        165
        6055           2        167
        6056           0        458
        6056           1        192
        6056           2        151
        6056           3         62
        6057           0        341
        6057           1        228
        6057           2         95
        6058           0        294
        6058           1        176
        6058           2         65
        6059           0        287
        6059           1        155
        6059           2        212
        6060           0        155
        6060           1        169
        6061           0        278
        6061           1        279
        6061           2        214
        6062           0        265
        6062           1        394
        6062           2        244
        6062           4        102
        6063           0        207
        6063           1        152
        6063           2        169
        6064           0        596
        6064           1        716
        6064           2        337
        6064           3         64
        6065           0         63
        6065           1        117
        6065           2        100
        6066           0        564
        6066           1        110
        6066           2        124
        6066           3         77
        6067           0        208
        6067           1        294
        6067           2         93
        6067           3         95
        6068           0        470
        6068           1        238
        6068           2        164
        6069           0        133
        6069           1        181
        6069           2        106
        6070           2         33
        6071           0        799
        6071           1        678
        6071           2        480
        6071           4         26
        6072           0         84
        6072           1        387
        6072           2         59
        6073           0         84
        6074           0       1111
        6074           1        339
        6074           2        382
        6074           3         25
        6074           4         16
        6075           0        718
        6075           1        463
        6075           2        189
        6075           3         34
        6076           0         16
        6076           1         42
        6079           0        759
        6079           1        354
        6079           2        179
        6080           0         79
        6081           0        671
        6081           1        346
        6081           2        191
        6081           3         15
        6082           0        246
        6082           1        313
        6082           2        112
        6083           0        838
        6083           1        464
        6083           2         27
        6085           0        175
        6090           0        556
        6090           1        464
        6090           2        273
        6090           3         19
        6091           0        211
        6091           1        328
        6091           2         16
        6091           3         20
        6092           0        143
        6092           1        284
        6092           2        387
        6094           0        238
        6094           1        175
        6094           2          6
        6095           2         56
        6097           0        222
        6097           1        287
        6097           2        283
        6097           3         92
        6098           0        353
        6098           1        392
        6098           2        319
        6098           3          9
        6100           0        332
        6100           1        501
        6100           2        344
        6100           3         49
        6101           0        674
        6101           1        851
        6101           2        186
        6101           3         31
        6102           0        222
        6102           1        235
        6102           2        132
        6103           0         10
        6103           1         15
        6104           0        122
        6104           1         38
        6104           2        103
        6105           0        239
        6105           1        230
        6105           2        169
        6106           0        230
        6106           1        304
        6106           2         76
        6107           0        633
        6107           1        567
        6107           2        381
        6109           0        663
        6109           1        455
        6109           2        302
        6112           0        172
        6112           1        111
        6112           2        241
        6113           0        207
        6113           1        360
        6113           2        180
        6113           3         28
        6113           4        118
        6115           0         64
