Fri Sep 24 2021 06:22:39 GMT-0400 (Eastern Daylight Time) - Run Time: 639ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of vehicles in household - n_vehicle


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_vehicle
  gta06_hhld   n_vehicle      total
        4177           4         10
        4178           0         60
        4178           1        153
        4178           2        360
        4178           3        140
        4178           4         40
        4179           2         40
        4179           4         50
        4183           0         18
        4183           1        521
        4183           2       1814
        4183           3        273
        4183           4         23
        4184           0         17
        4184           1          7
        4184           2         18
        4186           0         23
        4186           1       1366
        4186           2       3238
        4186           3        476
        4186           4         43
        4186           5         35
        4188           3         26
        4189           1        655
        4189           2       2269
        4189           3        372
        4189           5         35
        4190           0         71
        4190           1       1029
        4190           2        742
        4190           3         38
        4190           4         35
        4191           1         55
        4191           2        165
        4191           3        120
        4191           4         14
        4191           5         46
        4193           0         55
        4193           1        149
        4193           2         30
        4195           0         17
        4195           1         39
        4195           2        407
        4195           3        228
        4195           4         92
        4195           5         12
        4196           0         52
        4196           1        527
        4196           2        326
        4196           3        156
        4196           4         86
        4197           0         27
        4197           1         86
        4197           2         97
        4197           5         10
        5001           1         20
        5001           2         78
        5001           3         78
        5001           5         49
        5002           1        320
        5002           2        380
        5002           3         82
        5003           0          7
        5003           1         25
        5003           2         71
        5003           3         33
        5003           4          9
        5003          10         27
        5004           1         66
        5004           2        144
        5004           3         69
        5004           4         74
        5004           5         68
        5005           1        406
        5005           2        936
        5005           3        180
        5005           4         65
        5006           1         13
        5007           0         15
        5007           1         58
        5007           2        379
        5007           3        165
        5008           1         34
        5008           2         48
        5008           3         90
        5008           4         19
        5009           0         40
        5009           1        117
        5009           2        904
        5009           3         43
        5010           1          8
        5011           2        102
        5011           4         15
        5012           1         50
        5012           2         52
        5012           3        173
        5014           1         48
        5014           3         18
        5016           1        102
        5016           2        176
        5018           2         82
        5018           3         55
        5020           1         78
        5020           2        321
        5020           3         93
        5020           4         44
        5026           3         21
        5028           1         54
        5028           2         38
        5030           0         10
        5030           2        168
        5030           3         81
        5030           4         24
        5030           5         43
        5030           6         22
        5032           1        349
        5032           2       1034
        5032           3        614
        5032           4        236
        5033           1         39
        5033           2        241
        5033           3         45
        5035           6         21
        5036           1        107
        5036           2        321
        5036           3        163
        5037           1          7
        5037           2         84
        5037           3         46
        5038           1          7
        5038           4         17
        5038           5          7
        5039           2          7
        5040           1         74
        5040           2         43
        5041           0         84
        5041           1        613
        5041           2       1295
        5041           3        238
        5041           4         16
        5044           1        162
        5044           2        503
        5044           3         74
        5045           1        464
        5045           2        410
        5045           3        140
        5046           0        103
        5046           1        598
        5046           2       1129
        5046           3        146
        5046           4         56
        5047           1        940
        5047           2        614
        5047           3        308
        5047           4         28
        5048           2         30
        5049           1         31
        5049           2         16
        5049           3         18
        5049           5        131
        5050           0        111
        5050           1        746
        5050           2        652
        5050           3         43
        5050           4         62
        5051           0        155
        5051           1        599
        5051           2        470
        5051           3        283
        5051           4         39
        5051           5         84
        5052           0         39
        5052           1         78
        5052           2        243
        5052           3        134
        5053           0        108
        5053           1        450
        5053           2        704
        5053           3        134
        5053           4        216
        5054           2         94
        5054           6         64
        5055           2         59
        5056           1        339
