Fri Sep 24 2021 06:19:05 GMT-0400 (Eastern Daylight Time) - Run Time: 673ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of drivers in household - n_licence


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_licence
  gta06_hhld   n_licence      total
        4126           0         68
        4126           1        391
        4126           2        754
        4126           3        115
        4126           4         23
        4126          99         11
        4127           1        284
        4127           2       2599
        4127           3        268
        4127           4        261
        4127           5         40
        4127          99         42
        4128           2          8
        4129           4         27
        4130           2         27
        4131           1         25
        4131           2         18
        4132           2        115
        4132           3         15
        4133           1         40
        4133           2         49
        4133           3         23
        4134           1         19
        4134           2        100
        4134           3         31
        4134           4         31
        4135           2        184
        4135           3         81
        4135           4         66
        4136           1         84
        4136           2         74
        4136           3         62
        4137           2        249
        4137           3         15
        4137           4         89
        4137          99         18
        4138           1         46
        4138           2        138
        4138           3         36
        4139           1         12
        4139           2        174
        4139           3         20
        4139           4         11
        4140           1         64
        4140           2        132
        4140           3         96
        4140           4          8
        4140          99          8
        4141           2         58
        4141           3         13
        4142           1         29
        4142           2         27
        4143           1         81
        4143           2        124
        4143           3          9
        4143           4         60
        4144           2         54
        4148           2         29
        4149           1          7
        4149           2        167
        4149           3        112
        4149          99         17
        4153           2         30
        4154           1         54
        4154           2        172
        4154           3         87
        4154          99         91
        4155           0          8
        4155           2        216
        4155           3         78
        4155           4         40
        4156           2          3
        4156           3          4
        4157           1          8
        4157           2        146
        4157           3         31
        4157          99         21
        4158           1        197
        4158           2        939
        4158           3         94
        4158           4        188
        4158           5         54
        4158          99         34
        4159           0        142
        4159           1        240
        4159           2        502
        4159           3        248
        4159           4         52
        4160           1        295
        4160           2       1402
        4160           3        686
        4160           4        279
        4160           5         81
        4160          99        151
        4161           1         18
        4161           2        144
        4161           3         35
        4162           0         10
        4162           1        625
        4162           2        652
        4162           3        186
        4162           4        131
        4162          99         25
        4163           0         75
        4163           1        628
        4163           2        898
        4163           3        163
        4163           4        106
        4163          99         68
        4164           0         78
        4164           1        688
        4164           2        848
        4164           3        189
        4165           2         21
        4165           3         81
        4165           5         29
        4166           0         14
        4166           1        296
        4166           2        621
        4166           3        447
        4166           4        102
        4166           5         36
        4166          99         33
        4167           1         25
        4167           2        105
        4167           3         41
        4167           4         69
        4167           5         17
        4168           1         36
        4168           2         78
        4168           3         25
        4169           2        164
        4169           3          9
        4170           1         78
        4170           2        194
        4170           3          8
        4170           4         81
        4170          99          8
        4171           1         34
        4171           2         17
        4172           1         14
        4172           2        110
        4172           3        121
        4173           1         25
        4173           2        166
        4173           3         81
        4173           4          4
        4173           5         12
        4173          99         20
        4174           1         93
        4174           2         76
        4174           3         50
        4174           4        126
        4175           0          6
        4175           1         53
        4175           2        211
        4175           3        289
        4175           4         57
        4176           1        115
        4176           2        306
        4176           3        284
        4176           4         59
        4177           0         10
        4177           1        223
        4177           2        200
        4177           3         18
        4177          99         47
        4178           0         80
        4178           1        130
        4178           2        464
        4178           3         54
        4178           4         25
        4179           1          9
        4179           2         18
        4179           3         15
        4179           4         29
        4179           5          6
        4179          99         12
        4183           1        468
        4183           2       1560
        4183           3        435
        4183           4        155
        4183          99         30
        4184           2         42
        4186           0         19
        4186           1        680
        4186           2       3099
        4186           3        851
        4186           4        326
        4186           6         35
        4186          99        172
        4188           2         26
        4189           1        360
        4189           2       2118
        4189           3        557
        4189           4        254
        4189          99         43
        4190           0         61
        4190           1        807
        4190           2        982
        4190           3         65
        4191           1         49
        4191           2        169
        4191           3         28
        4191           4         46
        4191           5         94
        4191          99         13
        4193           0         41
        4193           1         96
        4193           2         97
        4195           0         17
        4195           1         50
        4195           2        520
        4195           3         96
        4195           4         92
        4195           5         12
        4195          99          9
        4196           0         52
        4196           1        234
        4196           2        678
        4196           3         40
        4196           4        117
        4196          99         28
        4197           1        110
        4197           2         92
        4197           3         18
        5001           1         20
        5001           2         86
        5001           3         70
        5001           4         49
        5002           1        200
        5002           2        545
        5002           3         37
        5003           0          7
        5003           1         52
        5003           2        104
        5003           3          9
        5004           1         66
        5004           2        144
        5004           3        210
        5005           1        250
        5005           2       1165
        5005           3         45
        5005           4        126
        5006           2         13
        5007           0          7
        5007           1         53
        5007           2        557
        5008           1         34
        5008           2         48
        5008           3        108
        5009           0         40
        5009           1        117
        5009           2        904
        5009           3         43
        5010           1          8
        5011           2         36
        5011           3         82
        5012           1         50
        5012           2        152
        5012           3         12
        5012           4         62
        5014           1         48
        5014           3         18
        5016           1        102
        5016           2        176
        5018           2        138
        5020           1         35
        5020           2        448
        5020           3          9
        5020           5         44
        5026           2         21
        5028           1         91
        5030           0         10
        5030           1         24
        5030           2         90
        5030           3        168
        5030           4         56
        5032           1        307
        5032           2       1151
        5032           3        214
        5032           4        495
        5032          99         67
        5033           2        324
        5035           3         21
        5036           1        121
        5036           2        349
        5036           3         48
        5036           5         74
        5037           1          7
        5037           2         84
        5037           3         46
        5038           2         24
        5038           4          7
        5039           1          7
        5040           1         47
        5040           2         69
        5041           0         53
        5041           1        481
        5041           2       1550
        5041           3        113
        5041           4         49
        5044           1         56
        5044           2        470
        5044           3         26
        5044           4        187
        5045           1        326
        5045           2        535
        5045           4        153
        5046           1        498
        5046           2       1137
        5046           3        203
        5046           4        130
        5046          99         64
        5047           1        561
        5047           2       1096
        5047           3         56
        5047           5        126
        5047          99         50
        5048           2         30
        5049           1         16
        5049           2        147
        5049           3         15
        5049           4         18
        5050           0         66
        5050           1        410
        5050           2        654
        5050           3        259
        5050           4         36
        5050           5         25
        5050          99        164
        5051           1        384
        5051           2        670
        5051           3        408
        5051           4         85
        5051           5         84
        5052           0         17
        5052           1        125
        5052           2        171
        5052           3         92
        5052           4         22
        5052          99         66
        5053           0        108
        5053           1        394
        5053           2        780
        5053           3        134
        5053           4        178
        5053          99         19
        5054           2         31
        5054           3        127
        5055           2         16
        5055           3         43
        5056           1        114
        5056           2        536
        5056           3        255
        5057           1        520
        5057           2        544
        5057           3        209
        5057           4         95
        5057           5         63
        5058           0        157
        5058           1        638
        5058           2        566
        5058           3         48
        5059           1        395
        5059           2       1136
        5059           3        225
        5059           4        359
        5059          99         29
        5060           1        244
        5060           2        327
        5060           3        260
        5061           1        177
        5061           2        727
        5061           3        157
        5061           4         91
        5061          99         14
        5063           0          7
        5063           1        325
        5063           2        415
        5063           3        229
        5063           4         89
        5065           0         12
        5065           1        244
        5065           2        849
        5065           3        124
        5066           0         36
        5066           1        480
        5066           2       1002
        5066           3        229
        5066           4        171
        5066          99         61
        5067           0         14
        5067           1        191
        5067           2        350
        5067           3        132
        5067           4         93
        5068           0        103
        5068           1        503
        5068           2       1065
        5068           3        176
        5068           4         87
        5068           5         48
        5069           0        123
        5069           1        336
        5069           2        608
        5069           3        210
        5069           4        193
        5069           5         56
        5069          99         17
        5071           1         68
        5071           2        492
        5071           3         88
        5071           4        212
        5071           5         32
        5072           1         48
        5072           2        216
        5072           3         61
        5073           1        169
        5073           2       1378
        5073           3        133
        5073           4        234
        5073           5         97
        5074           0        166
        5074           1        554
        5074           2        537
        5074           3        135
        5075           0         75
        5075           1         27
        5075           2        510
        5075           3        257
        5075           4        112
        5075           5         52
        5076           1        200
        5076           2        451
        5076           3        133
        5076           4         65
        5077           1         31
        5077           2         40
        5077           3         67
        5077           4         19
        5078           1         87
        5078           2        401
        5078           3         58
        5078          99         25
        5079           0         72
        5079           1        130
        5079           2        364
        5079           3         12
        5080           0         28
        5080           1         45
        5080           2        213
        5080           3         21
        5080          99          8
        5081           0         15
        5081           1         63
        5081           2        273
        5081           3        110
        5081           4         26
        5082           0        172
        5082           1        529
        5082           2       1035
        5082           3        142
        5082           4        116
        5084           1        166
        5084           2       1027
        5084           3        522
        5084           4         35
        5084           5         48
        5086           1        407
        5086           2        576
        5086           3        166
        5086           4         75
        5086          99         38
        5087           0         73
        5087           1         91
        5087           3         56
        5088           1         98
        5088           2         97
        5088           3         31
        5089           0        126
        5089           1        617
        5089           2        559
        5089           3         30
        5089           4        117
        5089           5         66
        5090           1        172
        5090           2        337
        5090           3        108
        5090           4         75
        5090           9         68
        5090          99         40
        5091           0         90
        5091           1        314
        5091           2        363
        5091           3        153
        5091           4         71
        5092           0        198
        5092           1        291
        5092           2        659
        5092           3        112
        5092           4        208
        5092          99         36
        5093           0         28
        5093           1        586
        5093           2        173
        5093           3         64
        5093           4         64
        5094           0         86
        5094           1        521
        5094           2       1137
        5094           3        369
        5094           4        340
        5095           0        301
        5095           1        561
        5095           2        769
        5095           3         79
        5095           4         29
        5096           0         19
        5096           1        281
        5096           2        775
        5096           3        183
        5096           4         43
