Fri Sep 24 2021 06:05:25 GMT-0400 (Eastern Daylight Time) - Run Time: 2402ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 5, 11, 

Trip 2016
ROW : gta06_orig
COLUMN : mode_prime
  gta06_orig  mode_prime      total
        1092           D         47
        1094           D         33
        1106           D         19
        1106           P         19
        1118           D         18
        1124           D         46
        1129           D         17
        1139           D         25
        1141           D          4
        1144           D         93
        1147           D         19
        1147           P         19
        1153           D         91
        1153           P         17
        1154           D         43
        1182           D         18
        1188           P         46
        1191           D         10
        1194           D         13
        1197           D         47
        1197           P         47
        1201           D         10
        1203           D         19
        1205           D        119
        1206           D         68
        1206           P         68
        1208           D          9
        1209           D         24
        1209           P         24
        1209           S         52
        1215           D         18
        1216           D         75
        1218           D         84
        1219           J          7
        1224           D         53
        1225           D         17
        1228           D          9
        1231           D         31
        1231           P         31
        1248           D         37
        1252           D         56
        1254           D         19
        1262           D          9
        1279           D         31
        1279           P         31
        1288           P         21
        1304           P         18
        1318           D         14
        1318           P         14
        1329           D         17
        2001           P         22
        2002           D        174
        2003           D        147
        2003           P         25
        2004           D        121
        2005           D         43
        2006           D         76
        2009           D         26
        2017           D         38
        2019           D         12
        2020           D         44
        2020           P         17
        2021           D         12
        2021           P         12
        2022           D         11
        2022           P         11
        2023           D         12
        2023           P         12
        2027           D         17
        2029           D         27
        2030           S         75
        2031           D         48
        2035           D         74
        2035           P         45
        2039           D          8
        2042           D        133
        2045           D         20
        2054           D         17
        2055           D         55
        2062           D        193
        2063           D         79
        2064           D        114
        2065           D         36
        2066           D        268
        2068           D         67
        2070           D         66
        2070           P         40
        2071           D         69
        2071           O         21
        2072           D         16
        2073           D        160
        2076           D          5
        2079           D        112
        2079           P        158
        2080           D         19
        2081           D        227
        2081           P         46
        2082           D        118
        2083           D        388
        2084           D         88
        2085           D        202
        2086           D         12
        2088           D        213
        2090           D        202
        2091           D         80
        2091           P         21
        2092           D         33
        2093           D         73
        2094           D         99
        2095           D         11
        2096           D        233
        2097           D        176
        2097           P         13
        2098           D         16
        2099           D         18
        2100           D         82
        2105           D         10
        2106           D         78
        2107           D         77
        2108           D         37
        2109           D        131
        2111           D        113
        2113           D        126
        2113           P         74
        2114           D         26
        2115           D         92
        2116           D         72
        2118           D         26
        2119           D        122
        2123           D          6
        2126           D          4
        2126           P          6
        2127           D         11
        2127           S         26
        2128           D         18
        2134           D         52
        2135           D         19
        2136           D         32
        2140           P         11
        2141           D         75
        2143           D         91
        2201           D         31
        2205           D         67
        2210           D         20
        2211           D         40
        2215           D         43
        2227           D         10
