Fri Sep 24 2021 06:05:25 GMT-0400 (Eastern Daylight Time) - Run Time: 2402ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 5, 11, 

Trip 2016
ROW : gta06_orig
COLUMN : mode_prime
  gta06_orig  mode_prime      total
        5086           B        120
        5086           D       2745
        5086           G         50
        5086           J         37
        5086           P        518
        5086           S         41
        5086           W        182
        5087           B        996
        5087           C         18
        5087           D       9607
        5087           O         94
        5087           P       3199
        5087           S         83
        5087           T         66
        5087           W        202
        5088           B         97
        5088           D       3657
        5088           G         34
        5088           O        112
        5088           P        368
        5088           S        303
        5089           B         65
        5089           C        101
        5089           D       3564
        5089           O         32
        5089           P        585
        5089           S        239
        5089           W        170
        5090           B         68
        5090           D       3023
        5090           P        763
        5090           S        607
        5090           W        173
        5091           B        253
        5091           D       2986
        5091           P       1049
        5091           S         83
        5091           W        108
        5092           B        215
        5092           D       4456
        5092           O         24
        5092           P        950
        5092           S         43
        5092           T         81
        5092           W        498
        5093           B        137
        5093           C        156
        5093           D       5272
        5093           P        844
        5093           S        934
        5093           T         12
        5093           W        510
        5094           B        216
        5094           C         84
        5094           D       6517
        5094           G         14
        5094           P       1816
        5094           S        582
        5094           T         15
        5094           W        133
        5095           B        523
        5095           C         81
        5095           D       3159
        5095           P        537
        5095           T         20
        5095           W        110
        5096           B        131
        5096           D       2663
        5096           G         14
        5096           P        417
        5096           S         43
        5096           W         82
        5097           B        229
        5097           D       3755
        5097           P        713
        5097           S        257
        5097           W        148
        5098           B        240
        5098           D       3867
        5098           P        809
        5098           S        299
        5098           W        910
        5099           B        263
        5099           C         22
        5099           D       3247
        5099           P        581
        5099           W        138
        5100           B         85
        5100           C         34
        5100           D       3815
        5100           G         57
        5100           O         79
        5100           P        960
        5100           S        184
        5100           U         56
        5101           B        188
        5101           D       1598
        5101           O          7
        5101           P        295
        5101           W         91
        5102           B        131
        5102           C         46
        5102           D       2758
        5102           P        777
        5102           T         16
        5102           U         49
        5102           W        257
        5103           D        903
        5103           P         17
        5104           B       1432
        5104           C         29
        5104           D       7528
        5104           J         43
        5104           O         24
        5104           P       1593
        5104           S        171
        5104           U         29
        5104           W        866
        5105           B         22
        5105           C         44
        5105           D       3384
        5105           G         27
        5105           J         11
        5105           P        431
        5105           S        117
        5105           W         50
        5106           B        100
        5106           D       2473
        5106           P        383
        5106           S        186
        5106           W         67
        5107           B        130
        5107           D       2870
        5107           P        570
        5107           S         49
        5107           W        297
        5108           D       1672
        5108           O         14
        5108           P        192
        5109           D       3141
        5109           P        825
        5109           S        279
        5109           W        131
        5110           B        186
        5110           C         18
        5110           D       4159
        5110           G         22
        5110           O         24
        5110           P       1158
        5110           T         47
        5110           W        239
        5111           B        454
        5111           C         79
        5111           D       4720
        5111           P        953
        5111           S        223
        5111           T         40
        5111           W        822
        5112           B        266
        5112           C         29
        5112           D       9540
        5112           P       1716
        5112           W        301
        5113           D       2191
        5113           G         42
        5113           M         15
        5113           P        985
        5113           W        255
        5114           B        247
        5114           C         46
        5114           D       2136
        5114           G         29
        5114           P        412
        5114           S         91
        5114           T         32
        5114           W        429
        5115           B        213
        5115           D       3153
        5115           P        612
        5115           W         59
        5116           B        548
        5116           C         63
        5116           D       3617
        5116           P        388
        5116           W         82
        5117           B         74
        5117           D        941
        5117           P        339
        5118           B        256
        5118           D       3386
        5118           P        800
        5118           S        119
        5118           W        405
        5119           B        246
        5119           C         26
        5119           D       4505
        5119           P        775
        5119           W        109
        5120           B        186
        5120           D       2427
        5120           G         17
        5120           P        625
        5120           S        129
        5120           W        105
        5121           B        777
        5121           C        119
        5121           D       5965
        5121           P       1769
        5121           S        311
        5121           T         27
        5121           W        543
        5122           B        102
        5122           C         47
        5122           D       3938
        5122           J         47
        5122           O         19
        5122           P       1056
        5122           S        198
        5122           T         20
        5122           W        239
        5123           B        386
        5123           D       4781
        5123           P        983
        5123           S        277
        5123           W        489
        5125           B        151
        5125           C         17
        5125           D       2093
        5125           P        428
        5125           S        112
        5125           T         62
        5125           W        154
        5126           B       1319
        5126           C         36
        5126           D       5664
        5126           P       1980
        5126           T         34
        5126           W         92
        5127           B        642
        5127           C         50
        5127           D       4938
        5127           O          7
        5127           P       1037
        5127           S         80
        5127           W        292
        5128           D       1797
        5128           P        166
        5128           S        101
        5128           W         49
        5129           B        220
        5129           D       2395
        5129           G          8
        5129           J         34
        5129           P        278
        5129           S         28
        5129           W        117
        5130           B        495
        5130           C         64
        5130           D       3515
        5130           J         37
        5130           O         39
        5130           P        555
        5130           W        174
        5131           B        332
        5131           C         40
        5131           D       2478
        5131           P        961
        5131           S         11
        5131           T         11
        5131           W        243
        5132           B        481
        5132           C        102
        5132           D       3668
        5132           G         15
        5132           J         18
        5132           P        560
        5132           S        189
        5132           T         50
        5132           U         43
        5132           W        755
        5133           B        311
        5133           C         29
        5133           D       2922
        5133           J         63
        5133           P        695
        5133           S        135
        5133           W         80
        5135           B        786
        5135           C        123
        5135           D       7157
        5135           P       1722
        5135           S        259
        5135           T        175
        5135           W        554
        5136           B         12
        5136           C        270
        5136           D       2072
        5136           P        315
        5137           B        106
        5137           D       1948
        5137           G         46
        5137           P        199
        5137           S         43
        5137           W        108
        5138           B         44
        5138           D       1186
        5138           M         12
        5138           P         53
        5139           B       1085
        5139           D       7319
        5139           M         15
        5139           P       1803
        5139           S         37
        5139           W        639
        5140           B        232
        5140           C         40
        5140           D       4746
        5140           P        845
        5140           S        177
        5140           W        363
        5141           B        221
        5141           C         24
        5141           D       1857
        5141           J         44
        5141           P        581
        5141           S        143
        5141           W        300
        5142           B       2909
        5142           D       6583
        5142           J         28
        5142           M         23
        5142           P       1835
        5142           S        612
        5142           U        110
        5142           W        177
        5143           B        244
        5143           C         17
        5143           D       4435
        5143           P        639
        5143           W        138
        5144           B        721
        5144           C         80
        5144           D       4692
        5144           J         89
        5144           P       1043
        5144           W        584
        5145           B         63
        5145           C         48
        5145           D       4044
        5145           P        977
        5147           B         99
        5147           D       1532
        5147           P        385
        5147           W         60
        5148           B       1485
        5148           C         26
        5148           D       4635
        5148           P       1017
        5148           S        118
        5148           T        125
        5148           W        183
        5149           B        330
        5149           C        170
        5149           D       2460
        5149           G         33
        5149           P        624
        5149           W        445
        5150           B        900
        5150           C        145
        5150           D       3035
        5150           G         41
        5150           J         77
        5150           M        247
        5150           P        600
        5150           S        104
        5150           U         62
        5150           W        413
        5151           B        646
        5151           D       4634
        5151           G         70
        5151           O         65
        5151           P       1214
        5151           T         19
        5151           W        603
        5153           B         62
        5153           C         85
        5153           D       2839
        5153           P        189
        5153           W         37
        5154           B        201
        5154           C         37
        5154           D       1979
        5154           M         18
        5154           O        112
        5154           P        200
        5154           W        286
        5155           B        284
        5155           C         16
        5155           D       2002
        5155           G          9
        5155           J         15
        5155           P        591
        5155           W        406
        5156           B         46
        5156           C         46
        5156           D         17
        5156           T         18
        5157           B        436
        5157           C         89
        5157           D       1819
        5157           J         31
        5157           P        379
        5157           S         96
        5157           W        359
        5158           B        235
        5158           C        415
        5158           D       4267
        5158           G         24
        5158           M         24
        5158           P       1123
        5158           W        996
        5159           B       1169
        5159           C        193
        5159           D       5112
        5159           O         51
        5159           P       1202
        5159           T         41
        5159           W        977
        5160           D        437
        5160           P         66
        5161           B        150
        5161           C        114
        5161           D       2621
        5161           G         24
        5161           M         38
        5161           P        569
        5161           T         38
        5161           W        661
        5162           B         96
        5162           C        121
        5162           D       1699
        5162           P        200
        5162           T        111
        5162           W        109
        5163           B        312
        5163           D       1286
        5163           G         23
        5163           J         53
        5163           P        234
        5163           T         15
        5163           W        196
        5164           B       1040
        5164           C        239
        5164           D       3609
        5164           J         56
        5164           P       1096
        5164           T         14
        5164           W        968
        5165           B        324
        5165           C        177
        5165           D       2914
        5165           P        387
        5165           S         79
        5165           W         61
        5166           B       1774
        5166           C        171
        5166           D       3535
        5166           M         18
        5166           P        552
        5166           S         58
        5166           T          6
        5166           W        414
        5167           B        162
        5167           C        159
        5167           D        831
        5167           G         32
        5167           J         12
        5167           P         67
        5167           T         26
        5167           W        466
        5168           B        939
        5168           C        132
        5168           D       2649
        5168           G         23
        5168           P        532
        5168           S         89
        5168           T         70
        5168           U         34
        5168           W        422
        5169           D        425
        5169           P        132
        5170           B       1290
        5170           C         29
        5170           D       3619
        5170           M         69
        5170           O         25
        5170           P       1220
        5170           S        539
        5170           W       1449
        5171           B        592
        5171           C         29
        5171           D       2013
        5171           G         23
        5171           J         39
        5171           P        342
        5171           U         62
        5171           W        758
        5172           B       1276
        5172           C        234
        5172           D       5156
        5172           G        156
        5172           J         39
        5172           M        125
        5172           P       1263
        5172           T         39
        5172           U         55
        5172           W       1402
        5173           B        583
        5173           C        195
        5173           D       3237
        5173           M         32
        5173           O         48
        5173           P        593
        5173           T         77
        5173           W        444
        5174           B        299
        5174           C        366
        5174           D       2300
        5174           P        734
        5174           W        910
        5175           B        796
        5175           C        562
        5175           D       5310
        5175           G         14
        5175           P       1091
        5175           S        649
        5175           W        925
        5176           B        223
        5176           C         11
        5176           D       3362
        5176           J         20
        5176           P       1124
        5176           T         62
        5176           W        241
        5177           D       2194
        5177           G         17
        5177           P        536
        5177           S        259
        5178           B        121
        5178           D       1743
        5178           G         38
        5178           P        203
        5178           S         34
        5179           B        430
        5179           C         55
        5179           D       1662
        5179           G         47
        5179           J         17
        5179           M         20
        5179           P        354
        5179           S         72
        5179           T        103
        5179           W        277
        5180           B        204
        5180           C        127
        5180           D       4257
        5180           G         17
        5180           P       1156
        5180           S         30
        5180           W        717
        5181           B       1295
        5181           C        180
        5181           D       3172
        5181           J         23
        5181           O         48
        5181           P        698
        5181           S        104
        5181           T         46
        5181           W       1251
        5182           B        192
        5182           C         59
        5182           D       2783
        5182           P        346
        5182           W         49
        5183           B        443
        5183           C        330
        5183           D       2081
        5183           P        680
        5183           U         84
        5183           W        230
        5184           B        909
        5184           C        102
        5184           D       3967
        5184           M         28
        5184           O         41
        5184           P        536
        5184           S         13
        5184           W        608
        5185           B        169
        5185           C        145
        5185           D       1721
        5185           P        182
        5185           W         86
        5186           B        575
        5186           C        142
        5186           D       3115
        5186           G         17
        5186           J          8
        5186           M         81
        5186           P        558
        5186           T        137
        5186           W        953
        5187           B        817
        5187           C         23
        5187           D       3251
        5187           G         42
        5187           P        605
        5187           W        712
        5188           B        570
        5188           C        343
        5188           D       2452
        5188           J         23
        5188           M        101
        5188           P        881
        5188           T          7
        5188           W        351
        5190           B        462
        5190           C        292
        5190           D       1476
        5190           P        248
        5190           T         26
        5190           U        179
        5190           W        521
        5191           B        273
        5191           C        162
        5191           D       4528
        5191           G         59
        5191           M          6
        5191           P        811
        5191           S        194
        5191           T          6
        5191           U         35
        5191           W         72
        5192           B        913
        5192           C        209
        5192           D       4258
        5192           G         16
        5192           J         23
        5192           O         44
        5192           P        756
        5192           W        231
        5193           B       2183
        5193           C        152
        5193           D       4167
        5193           M         27
        5193           O         66
        5193           P        862
        5193           S        246
        5193           T         41
        5193           W       1179
        5194           B        622
        5194           C        252
        5194           D       5623
        5194           J         45
        5194           P       1206
        5194           U         29
        5194           W        479
        5195           B        592
        5195           C         62
        5195           D       1848
        5195           J         52
        5195           M         18
        5195           P        348
        5195           W        725
        5196           B        543
        5196           C        362
        5196           D       2292
        5196           G         16
        5196           P        412
        5196           S        182
        5196           T        137
        5196           W       1215
        5197           B        117
        5197           C        185
        5197           D       7692
        5197           O         65
        5197           P        174
        5197           W        135
        5198           B       7508
        5198           C       1402
        5198           D      15134
        5198           J        186
        5198           P       3336
        5198           T         62
        5198           U        113
        5198           W       1908
        5199           B       1036
        5199           C        252
        5199           D       3812
        5199           G        157
        5199           P        610
        5199           T         90
        5199           U         89
        5199           W        792
        5200           B        691
        5200           C        134
        5200           D       3215
        5200           G         37
        5200           M         28
        5200           O         34
        5200           P        664
        5200           T         22
        5200           W        364
        5201           B        410
        5201           C        212
        5201           D       2071
        5201           G          8
        5201           J         26
        5201           P        286
        5201           S        132
        5201           U         33
        5201           W         70
        5202           B        139
        5202           C        122
        5202           D       3220
        5202           J         26
        5202           M         15
        5202           O        151
        5202           P        795
        5202           S         31
        5202           W        162
        5203           B       1414
        5203           C        263
        5203           D       4037
        5203           M         20
        5203           P        967
        5203           S        313
        5203           W       1561
        5204           B        155
        5204           C         94
        5204           D        950
        5204           P        377
        5204           W        101
        5205           B        339
        5205           C        294
        5205           D       6411
        5205           P       1535
        5205           S        130
        5205           W       1103
        5206           B        206
        5206           C        140
        5206           D       4317
        5206           J         32
        5206           P       1232
        5206           T         72
        5206           W         50
        5207           B        166
        5207           C         85
        5207           D       6536
        5207           G         63
        5207           O        140
        5207           P       1189
        5207           S         35
        5207           W        166
        5208           B        773
        5208           C        220
        5208           D       4796
        5208           P       1180
        5208           W        607
        5210           B         31
        5210           C         50
        5210           D       2272
        5210           P        352
        5210           W         64
        5211           D        174
        5211           P         20
        5211           W         21
        5212           B        189
        5212           C        165
        5212           D       1768
        5212           G         11
        5212           P        238
        5212           S         32
        5213           D        378
        5213           P         44
        5214           B         40
        5214           D        387
        5214           P         15
        5215           D        427
        5215           G         26
        5215           P         22
        5216           D       3253
        5216           P        695
        5216           S        600
        5219           D       2021
        5219           G         32
        5219           P        470
        5223           C         25
        5223           D       2437
        5223           G         17
        5223           P        447
        5223           S        265
        5224           D       1957
        5224           P        202
        5224           S         87
        5224           W         77
        5225           D        596
        5225           P         77
        5226           B         13
        5226           C         62
        5226           D       4778
        5226           G         50
        5226           P        722
        5226           S        580
        5227           D        615
        5227           P         89
        5228           D        502
        5228           P         36
        5229           B         13
        5229           C         62
        5229           D       4044
        5229           G         85
        5229           P        876
        5229           S        764
        5229           W        433
        5230           C         13
        5230           D       3110
        5230           G        144
        5230           J         23
        5230           P        430
        5230           S        330
        5230           U         40
        5230           W        112
        5231           D       3248
        5231           J         66
        5231           P        467
        5231           S        154
        5231           T         15
        5231           W        717
        5232           B         44
        5232           C         13
        5232           D      10185
        5232           G          8
        5232           J         42
        5232           P       1494
        5232           S        158
        5232           W        525
        5233           D       4013
        5233           G         19
        5233           P        853
        5233           S        139
        5234           B         27
        5234           D       1516
        5234           G         36
        5234           P        489
        5234           W         40
        5235           D        774
        5235           G         53
        5235           P        104
        5235           S         93
        5235           W        127
        5236           C         39
        5236           D       1611
        5236           P        462
        5236           S        145
        5236           W        283
        5237           B         60
        5237           D       2888
        5237           M         15
        5237           P        493
        5237           S        166
        5237           T         25
        5237           W         16
        5238           B         95
        5238           D       2813
        5238           G         13
        5238           P        540
        5238           S        192
        5238           T         18
        5239           B        117
        5239           D       2943
        5239           G         28
        5239           O         41
        5239           P        853
        5239           S        224
        5239           W         98
        5240           B         13
        5240           D        778
        5240           P         52
        5240           S         27
        5241           B        975
        5241           D       5154
        5241           J         29
        5241           P       1013
        5241           S        188
        5241           W        526
        5242           B        134
        5242           D        726
        5242           P         15
        5242           S         63
        5242           W         63
        5243           D        168
        5243           P        154
        5243           S         38
        5244           B         25
        5244           D       3374
        5244           J         43
        5244           P        734
        5244           S       1472
        5244           W        283
        5245           B        125
        5245           D       2966
        5245           G         14
        5245           P        581
        5245           S         96
        5245           U         47
        5246           B        285
        5246           D       1719
        5246           G         46
        5246           J          9
        5246           P        335
        5246           S        101
        5246           W        346
        5247           B         18
        5247           D       1091
        5247           G         25
        5247           O         25
        5247           P        183
        5247           S         28
        5248           D       3298
        5248           G         65
        5248           P        578
        5248           S        200
        5248           W         19
        5249           D        741
        5249           P        139
        5249           S        160
        5250           B         57
        5250           D       1539
        5250           P        348
        5250           S         57
        5251           D       1955
        5251           M         30
        5251           P        210
        5252           B        147
        5252           C         22
        5252           D       1994
        5252           G         25
        5252           P        359
        5252           S        384
        5252           W        653
        5253           D         29
        6001           B         77
        6001           D       1114
        6001           P        244
        6002           D       1618
        6002           P        291
        6002           U         36
        6003           B          6
        6003           D       1746
        6003           P        214
        6004           B         19
        6004           D       4687
        6004           G         20
        6004           J          8
        6004           M         15
        6004           P        800
        6004           S        398
        6004           U         19
        6004           W        107
        6005           B         23
        6005           D       1726
        6005           G          9
        6005           O         23
        6005           P        187
        6005           S         52
        6006           D        851
        6006           P         71
        6006           S         82
        6007           D       1461
        6007           G         34
        6007           J          4
        6007           P        259
        6007           S        113
        6008           D       1711
        6008           O         77
        6008           P        515
        6008           S        479
        6008           W        331
        6009           D       3269
        6009           P        561
        6009           S         17
        6009           W         70
        6010           D       1740
        6010           P        329
        6010           S        241
        6010           W         61
        6011           D        227
        6011           P         21
        6012           C         22
        6012           D       2834
        6012           G         15
        6012           O         54
        6012           P        312
        6012           S        288
        6012           T         13
        6012           W        303
        6013           D        119
        6013           P         63
        6014           D        697
        6014           P        207
        6014           W         16
        6015           C         10
        6015           D       3662
        6015           P        513
        6015           S         75
        6015           W        218
        6016           D       2898
        6016           G         10
        6016           P        865
        6016           S        357
        6016           W        168
        6017           D        616
        6017           J         17
        6017           P        200
        6018           C         22
        6018           D       2004
        6018           M         18
        6018           P        111
        6018           S        201
        6019           D       1987
        6019           G         22
        6019           P        380
        6019           S        122
        6019           W         91
        6020           D       2277
        6020           G         31
        6020           P        234
        6020           S         76
        6020           W         77
        6021           D        384
        6021           P        113
        6022           D       1295
        6022           P        243
        6022           S         99
        6022           W         49
        6023           B         18
        6023           C         98
        6023           D      12962
        6023           G         25
        6023           J         12
        6023           P       2134
        6023           S        388
        6023           T         46
        6023           W        335
        6024           D        835
        6024           P         24
        6025           D       1899
        6025           P        500
        6025           S        167
        6026           C          7
        6026           D       3720
        6026           J          3
        6026           P        885
        6026           S         86
        6026           U         34
        6026           W         51
        6027           C         45
        6027           D       3453
        6027           P        522
        6027           S        179
        6028           D        990
        6028           P        183
        6028           S         12
        6029           C         57
        6029           D       2490
        6029           P        426
        6029           S        416
        6030           D       1142
        6030           J          6
        6030           P        241
        6030           S         29
        6030           W         49
        6031           C         13
        6031           D        729
        6031           P         57
        6032           D       5931
        6032           G         22
        6032           M         20
        6032           P       1542
        6032           S        218
        6032           W        360
        6033           B         31
        6033           C         10
        6033           D       2997
        6033           P        647
        6033           S        110
        6033           W        178
        6034           D       2203
        6034           P        273
        6034           S         17
        6034           W         44
        6035           D       1166
        6035           G         15
        6035           P        333
        6036           D        645
        6036           M         30
        6036           P        106
        6037           D        312
        6037           P         13
        6038           D       2173
        6038           M         18
        6038           P        358
        6038           S        239
        6039           C         17
        6039           D       4985
        6039           P       1088
        6039           S        766
        6039           W        342
        6040           D        865
        6040           P         72
        6040           S         81
        6041           D        797
        6041           P        227
        6041           S         18
        6042           D       1125
        6042           P        151
        6043           C        106
        6043           D        960
        6043           P        197
        6043           S         30
        6044           C        213
        6044           D       7880
        6044           G         33
        6044           P       1568
        6044           S         62
        6044           T         30
        6044           U         18
        6044           W        231
        6045           C         71
        6045           D        939
        6045           P         64
        6046           C         35
        6046           D       1442
        6046           P        190
        6046           S         67
        6047           C         26
        6047           D       5089
        6047           J          9
        6047           P        659
        6047           S        168
        6047           W        252
        6048           C         35
        6048           D       1941
        6048           P        377
        6048           S        251
        6049           D        995
        6049           P        206
        6050           C         97
        6050           D       2328
        6050           M         15
        6050           P        608
        6050           S         58
        6051           D       1286
        6051           M         13
        6051           P        332
        6051           S         70
        6052           B        186
        6052           C         17
        6052           D       6507
        6052           P        815
        6052           S        170
        6052           T         69
        6053           B         10
        6053           D       1634
        6053           J          6
        6053           P        164
        6053           S         75
        6053           W         39
        6054           D       1385
        6054           P        117
        6054           S         58
        6055           D       1312
        6055           P        331
        6055           S         15
        6055           W         68
        6056           B         56
        6056           D       1467
        6056           P        270
        6057           B         94
        6057           D       3226
        6057           P        735
        6057           S        202
        6057           W        270
        6058           B         44
        6058           C         14
        6058           D       1996
        6058           P        439
        6058           S         46
        6058           W         48
        6059           B         72
        6059           D       3092
        6059           J         12
        6059           P        567
        6059           W        130
        6060           D        352
        6060           P        187
        6061           D       2546
        6061           P        624
        6061           S        102
        6061           W         11
        6062           B        100
        6062           C         72
        6062           D       3316
        6062           P        792
        6062           S        294
        6062           W        825
        6063           C         12
        6063           D       1358
        6063           P        354
        6064           B        135
        6064           C         21
        6064           D       4084
        6064           M         38
        6064           P        555
        6064           S          8
        6064           T         11
        6064           W        105
        6065           C         32
        6065           D       1757
        6065           P        280
        6065           T         14
        6065           W        164
        6066           B         93
        6066           C         21
        6066           D       1942
        6066           J         10
        6066           P        406
        6066           T          8
        6066           W         91
        6067           B         19
        6067           C         14
        6067           D       1935
        6067           P        658
        6067           W        160
        6068           D       2163
        6068           P        543
        6068           W         33
        6069           D       1866
        6069           P        240
