Fri Sep 24 2021 06:21:03 GMT-0400 (Eastern Daylight Time) - Run Time: 659ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of persons in household - n_person


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_person
  gta06_hhld    n_person      total
        4172           3          9
        4172           4        171
        4173           1         25
        4173           2         92
        4173           3         93
        4173           4         56
        4173           5         12
        4173           6         30
        4174           1         27
        4174           2        141
        4174           3         40
        4174           4         70
        4174           5         66
        4175           1         60
        4175           2        108
        4175           3        219
        4175           4        158
        4175           5         73
        4176           1        109
        4176           2        106
        4176           3        253
        4176           4        196
        4176           5         16
        4176           6         55
        4176           7         30
        4177           1        233
        4177           2        141
        4177           4         78
        4177           6         47
        4178           1        145
        4178           2        344
        4178           3         84
        4178           4        112
        4178           5         49
        4178           6         19
        4179           1          9
        4179           2         30
        4179           5         50
        4183           1        306
        4183           2        468
        4183           3        604
        4183           4        835
        4183           5        307
        4183           6        128
        4184           2          7
        4184           3         35
        4186           1        391
        4186           2       1087
        4186           3       1087
        4186           4       1743
        4186           5        533
        4186           6        243
        4186           7         68
        4186           9         29
        4188           3         26
        4189           1        239
        4189           2        556
        4189           3        750
        4189           4       1061
        4189           5        524
        4189           6        154
        4189           7         48
        4190           1        634
        4190           2        857
        4190           3        167
        4190           4        163
        4190           5         94
        4191           1         39
        4191           2        124
        4191           3         28
        4191           4         59
        4191           5         56
        4191           6         94
        4193           1        124
        4193           2        110
        4195           1         54
        4195           2        232
        4195           3        206
        4195           4        141
        4195           5        143
        4195           6         19
        4196           1        171
        4196           2        469
        4196           3        164
        4196           4        266
        4196           5         77
        4197           1         94
        4197           2         94
        4197           4         32
        5001           1          7
        5001           2         42
        5001           3        128
        5001           4         49
        5002           1        173
        5002           2        452
        5002           3         82
        5002           4         75
        5003           1         34
        5003           2        108
        5003           3         21
        5003           4          9
        5004           1         66
        5004           2        144
        5004           3        210
        5005           1        171
        5005           2        480
        5005           3        234
        5005           4        416
        5005           5        286
        5006           2         13
        5007           1         61
        5007           2         86
        5007           4        331
        5007           5        140
        5008           1         34
        5008           3        108
        5008           5         48
        5009           1        148
        5009           2        348
        5009           3        239
        5009           4        198
        5009           5        171
        5010           1          8
        5011           2         36
        5011           3         82
        5012           1         41
        5012           2        160
        5012           3         12
        5012           4         62
        5014           1         48
        5014           5         18
        5016           1        102
        5016           2        118
        5016           3         58
        5018           2         71
        5018           4         67
        5020           1         35
        5020           2         55
        5020           3        150
        5020           4        234
        5020           5         18
        5020           6         44
        5026           2         21
        5028           1         54
        5028           5         38
        5030           1         34
        5030           2         28
        5030           3         80
        5030           5        150
        5030           6         56
        5032           1        225
        5032           2        451
        5032           3        495
        5032           4        782
        5032           5        279
        5033           2         39
        5033           3         45
        5033           4        145
        5033           5         96
        5035           3         21
        5036           1         93
        5036           2        170
        5036           3        148
        5036           5        182
        5037           1          7
        5037           3        130
        5038           2         24
        5038           4          7
        5039           2          7
        5040           1         47
        5040           2         69
        5041           1        223
        5041           2       1040
        5041           3        485
        5041           4        448
        5041           5         33
        5041           6         18
        5044           1         24
        5044           2         96
        5044           3        153
        5044           4        302
        5044           6         71
        5044           7         93
        5045           1        214
        5045           2        293
        5045           3         99
        5045           4        351
        5045           5         20
        5045           6         36
        5046           1        277
        5046           2        484
        5046           3        394
        5046           4        553
        5046           5        324
        5047           1        496
        5047           2       1058
        5047           3        170
        5047           4         40
        5047           5        126
        5048           2         30
        5049           2         33
        5049           3        145
        5049           4         18
        5050           1        258
        5050           2        376
        5050           3        385
        5050           4        393
        5050           5         25
        5050           6         31
        5050           7        145
        5051           2        607
        5051           3        391
        5051           4        262
        5051           5        122
        5051           6        248
        5052           1         84
        5052           2        155
        5052           3        135
        5052           4         84
        5052           6         37
        5053           1        344
        5053           2        464
        5053           3        240
        5053           4        160
        5053           5        296
        5053           6        108
        5054           2         31
        5054           4        127
        5055           2         16
        5055           5         43
        5056           1         73
        5056           2        144
        5056           3        298
        5056           4        214
        5056           5        144
        5056           6         32
        5057           1        271
        5057           2        275
        5057           3        433
        5057           4        233
        5057           5        110
        5057           6        109
        5058           1        755
        5058           2        505
        5058           3         50
        5058           4        100
        5059           1        300
        5059           2        578
        5059           3        397
        5059           4        547
        5059           5        253
        5059           6         69
        5060           1         74
        5060           2        417
        5060           3        100
        5060           4         55
        5060           5        101
        5060           6         85
        5061           1        177
        5061           2        405
        5061           3        215
        5061           4        237
        5061           5        132
        5063           1        132
        5063           2        251
        5063           3        195
        5063           4        348
        5063           5         91
        5063           6         49
        5065           1        114
        5065           2        462
        5065           3        193
        5065           4        389
        5065           5         71
        5066           1        214
        5066           2        435
        5066           3        247
        5066           4        620
        5066           5        338
        5066           6        125
        5067           1        122
        5067           2        255
        5067           3         95
        5067           4        191
        5067           5        115
        5068           1        500
        5068           2        538
        5068           3        365
        5068           4        332
        5068           5        198
        5068           6         48
        5069           1        402
        5069           2        532
        5069           3        210
        5069           4        125
        5069           5        206
        5069           6         68
        5071           1         53
        5071           2        314
        5071           3        125
        5071           4        108
        5071           5        146
        5071           6         31
        5071           7        115
        5072           1         33
        5072           2        207
        5072           3         61
        5072           4         25
        5073           1        169
        5073           2        398
        5073           3        221
        5073           4        625
        5073           5        240
        5073           6         96
        5073           7        189
        5073           8         73
        5074           1        511
        5074           2        318
        5074           3        131
        5074           4        286
        5074           5         56
        5074           7         89
        5075           1         29
        5075           2        190
        5075           3        108
        5075           4        361
        5075           5        226
        5075           6         95
        5075           8         24
        5076           1        136
        5076           2        219
        5076           3        233
        5076           4        144
        5076           5         94
        5076           6         23
        5077           2         14
        5077           3         97
        5077           4         19
        5077           6         27
        5078           1        113
        5078           2        224
        5078           3        119
        5078           4        115
        5079           1        183
        5079           2        326
        5079           3         12
        5079           4         58
        5080           1         73
        5080           2         77
        5080           3        102
        5080           4         64
        5081           1         29
        5081           2        234
        5081           3        135
        5081           4         91
