Fri Sep 24 2021 06:18:16 GMT-0400 (Eastern Daylight Time) - Run Time: 797ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : income
  gta06_hhld      income      total
        4098           6        193
        4098           7         23
        4099           2         84
        4099           3         19
        4099           4         16
        4099           5          5
        4099           6         63
        4100           3         37
        4100           6         49
        4100           7         20
        4103           1         30
        4103           2        180
        4103           3        240
        4103           4        733
        4103           5        276
        4103           6        705
        4103           7        116
        4104           3         78
        4104           4         23
        4104           5         42
        4104           6         70
        4105           1         62
        4105           2        265
        4105           3        477
        4105           4       1075
        4105           5        663
        4105           6        605
        4105           7        774
        4106           3          9
        4108           1         65
        4108           2         74
        4108           3        138
        4108           4        566
        4108           5        392
        4108           6        664
        4108           7        187
        4110           1         22
        4110           2        243
        4110           3        498
        4110           4       1218
        4110           5        777
        4110           6       1362
        4110           7        565
        4111           4         10
        4111           7         29
        4112           7         20
        4113           4         10
        4113           5         36
        4114           4         30
        4114           5         13
        4114           7         11
        4118           2         18
        4118           3         87
        4118           4        104
        4118           5         62
        4118           6         73
        4118           7         74
        4119           1         46
        4119           2        183
        4119           3        316
        4119           4       1320
        4119           5        343
        4119           6        595
        4119           7        396
        4120           1         24
        4120           2        288
        4120           3        311
        4120           4        997
        4120           5        705
        4120           6        973
        4120           7        526
        4121           2          9
        4121           4         15
        4121           5         19
        4121           6         36
        4121           7         21
        4122           4         19
        4123           2        182
        4123           3        452
        4123           4        397
        4123           5        224
        4123           6        390
        4123           7        270
        4124           1         64
        4124           2        244
        4124           3        201
        4124           4        345
        4124           5        199
        4124           6        283
        4124           7        349
        4125           1         11
        4125           2        384
        4125           3        294
        4125           4        314
        4125           5        361
        4125           6        330
        4125           7        428
        4126           1         10
        4126           2        233
        4126           3        140
        4126           4        345
        4126           5        126
        4126           6        340
        4126           7        169
        4127           1         13
        4127           2        198
        4127           3        204
        4127           4        941
        4127           5        538
        4127           6       1063
        4127           7        536
        4128           4          8
        4129           7         27
        4130           5          8
        4130           7         19
        4131           4         10
        4131           7         33
        4132           3         15
        4132           4         47
        4132           6         48
        4132           7         20
        4133           3         12
        4133           4         40
        4133           5         10
        4133           6         50
        4134           1         24
        4134           2         10
        4134           3         10
        4134           4         49
        4134           5         61
        4134           6         28
        4135           3          8
        4135           5         73
        4135           6        157
        4135           7         93
        4136           3         12
        4136           4         77
        4136           5          8
        4136           6        123
        4137           3         15
        4137           4         12
        4137           6        301
        4137           7         42
        4138           3         46
        4138           4         17
        4138           6        136
        4138           7         21
        4139           3         21
        4139           4         46
        4139           5         32
        4139           6         37
        4139           7         81
        4140           2         37
        4140           3         71
        4140           4         58
        4140           5          8
        4140           6        105
        4140           7         29
        4141           2         12
        4141           3         13
        4141           4         10
        4141           5         17
        4141           6         10
        4141           7          9
        4142           3         29
        4142           4         12
        4142           6         15
        4143           2         14
        4143           3         82
        4143           4         78
        4143           5         11
        4143           6         68
        4143           7         23
        4144           2          9
        4144           5         45
        4148           4         29
        4149           2          8
        4149           3         12
        4149           4         25
        4149           6        197
        4149           7         62
        4153           3         17
        4153           7         12
        4154           1         16
        4154           2         21
        4154           3         37
        4154           4         71
        4154           5         12
        4154           6         48
        4154           7        199
        4155           2         85
        4155           4        169
        4155           6         49
        4155           7         38
        4156           6          4
        4156           7          3
