Fri Sep 24 2021 06:16:57 GMT-0400 (Eastern Daylight Time) - Run Time: 613ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Type of dwelling unit - dwell_type


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : dwell_type
  gta06_hhld  dwell_type      total
        6271           1        658
        6271           2        218
        6272           1        191
        6273           1        219
        6273           2         96
        6273           3         26
        6275           1       1122
        6275           2        388
        6276           1         94
        6276           2        212
        6276           3         31
        6278           1         33
        6278           2         65
        6279           1         36
        6279           2        104
        6280           1         46
        6280           2         63
        6281           2         21
        6282           1         13
        6282           2        198
        6283           2        157
        6284           1         85
        6284           2        195
        6285           1        447
        6285           2        465
        6286           2        790
        6286           3        255
        6288           1        469
        6288           2        173
        6288           3          9
        6289           1        751
        6289           2        175
        6289           3        119
        6290           1       1090
        6290           2         61
        6290           3         85
        6291           1         87
        6292           1        497
        6292           2         26
        6294           1        101
        6296           1        515
        6296           2        145
        6296           3         74
        6297           1        402
        6299           1        464
        6299           2        240
        6300           1        459
        6300           2         26
        6301           1        580
        6301           2        113
        6302           1        158
        6303           1        399
        6304           1          6
        6306           1         21
        6307           1        433
        6307           2         87
        6308           1       1431
        6308           2         24
        6309           1        418
        6309           2        368
        6310           1         32
        6310           2        259
        6310           3        144
        6311           1         60
        6311           2         23
        6312           1        146
        6312           2        232
        6313           2         39
        6314           1         38
        6315           1        156
        6315           2         96
        6315           3         66
        6316           1        233
        6316           2        171
        6317           1        173
        6318           1         15
        6319           1         21
        6320           1        674
        6320           2         28
        6322           1        189
        6323           1         25
        6324           1        108
        6325           1        618
        6325           2        318
        6326           1        608
        6326           2        111
        6327           1         24
        6328           1         17
        6329           1         21
        6330           1        219
        6331           1        136
        6331           2         22
        6332           1        275
        6333           1        185
        6333           2         33
        6334           1        263
        6335           1        181
        6336           1        981
        6336           2        188
        6336           3         25
        6337           1        964
        6337           2        117
        6337           3         76
        6338           1        918
        6338           2         85
        6338           3         74
        6339           1        292
        6340           1        979
        6341           1       1424
        6342           1       1058
        6342           2         88
        6342           3        125
        6343           1        498
        6343           2        592
        6344           1        854
        6344           2        290
        6345           1        986
        6345           2        211
        6346           1        159
        6347           1        544
        6348           1        410
        6349           1        333
        6350           1        699
        6350           3         42
        6351           1        246
        6352           1         50
        6353           1        355
        6354           1        348
        6355           1        243
        6356           1         72
        6357           1        319
        6358           1        138
        6359           1        798
        6360           1       1891
        6360           2        175
        6360           3        330
        6361           1        418
        6362           1        645
        6362           2         35
        6363           1        727
        6364           1        587
        6366           1       1629
        6366           2        230
        6366           3        146
